+-------------+-------------------------------+------------+-----------+-------------+---------------+-----------------+
| franchiseID | franchiseName                 | totalGames | totalWins | totalLosses | winPercentage | worldSeriesWins |
+-------------+-------------------------------+------------+-----------+-------------+---------------+-----------------+
| ARI         | Arizona Diamondbacks          |       4110 |      1998 |        2112 |        0.4861 |               1 |
| ATL         | Atlanta Braves                |      22054 |     11025 |       10876 |        0.4999 |               4 |
| BAL         | Baltimore Orioles             |      19151 |      9029 |       10013 |        0.4715 |               3 |
| BOS         | Boston Red Sox                |      19139 |      9874 |        9182 |        0.5159 |               9 |
| CHC         | Chicago Cubs                  |      22088 |     11244 |       10688 |        0.5091 |               4 |
| CHW         | Chicago White Sox             |      19146 |      9553 |        9491 |        0.4990 |               3 |
| CIN         | Cincinnati Reds               |      21676 |     10857 |       10681 |        0.5009 |               5 |
| CLE         | Cleveland Indians             |      19151 |      9760 |        9300 |        0.5096 |               2 |
| COL         | Colorado Rockies              |       4858 |      2260 |        2598 |        0.4652 |               0 |
| DET         | Detroit Tigers                |      19172 |      9590 |        9491 |        0.5002 |               4 |
| FLA         | Florida Marlins               |       4850 |      2241 |        2609 |        0.4621 |               2 |
| HOU         | Houston Astros                |       9818 |      4921 |        4892 |        0.5012 |               2 |
| KCR         | Kansas City Royals            |       8671 |      4122 |        4547 |        0.4754 |               2 |
| ANA         | Los Angeles Angels of Anaheim |       9977 |      4958 |        5016 |        0.4969 |               1 |
| LAD         | Los Angeles Dodgers           |      21471 |     11334 |       10004 |        0.5279 |               8 |
| MIL         | Milwaukee Brewers             |       8680 |      4215 |        4461 |        0.4856 |               0 |
| MIN         | Minnesota Twins               |      19161 |      9177 |        9875 |        0.4789 |               3 |
| NYM         | New York Mets                 |       9810 |      4727 |        5075 |        0.4819 |               2 |
| NYY         | New York Yankees              |      19126 |     10802 |        8233 |        0.5648 |              27 |
| OAK         | Oakland Athletics             |      19113 |      9260 |        9766 |        0.4845 |               9 |
| PHI         | Philadelphia Phillies         |      21484 |     10112 |       11259 |        0.4707 |               2 |
| PIT         | Pittsburgh Pirates            |      21629 |     10763 |       10733 |        0.4976 |               5 |
| SDP         | San Diego Padres              |       8684 |      4034 |        4648 |        0.4645 |               0 |
| SFG         | San Francisco Giants          |      21554 |     11461 |        9937 |        0.5317 |              10 |
| SEA         | Seattle Mariners              |       7389 |      3514 |        3873 |        0.4756 |               0 |
| STL         | St. Louis Cardinals           |      21671 |     11202 |       10323 |        0.5169 |              12 |
| TBD         | Tampa Bay Rays                |       4108 |      2011 |        2097 |        0.4895 |               0 |
| TEX         | Texas Rangers                 |       9964 |      4740 |        5218 |        0.4757 |               1 |
| TOR         | Toronto Blue Jays             |       7390 |      3687 |        3700 |        0.4989 |               2 |
| WSN         | Washington Nationals          |       8676 |      4194 |        4478 |        0.4834 |               1 |
+-------------+-------------------------------+------------+-----------+-------------+---------------+-----------------+
