+-----------+-----------+-------------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| playerID  | nameFirst | nameLast    | PA   | G    | AB   | R    | H    | 2B   | 3B   | HR   | RBI  | SB   | CS   | BB   | SO   | IBB  | HBP  | SH   | SF   | GIDP |
+-----------+-----------+-------------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| judgeaa01 | Aaron     | Judge       |  692 |  157 |  570 |  133 |  177 |   28 |    0 |   62 |  131 |   16 |    3 |  111 |  175 |   19 |    6 |    0 |    5 |   14 |
| schwaky01 | Kyle      | Schwarber   |  669 |  155 |  577 |  100 |  126 |   21 |    3 |   46 |   94 |   10 |    1 |   86 |  200 |    3 |    4 |    0 |    2 |   10 |
| troutmi01 | Mike      | Trout       |  499 |  119 |  438 |   85 |  124 |   28 |    2 |   40 |   80 |    1 |    0 |   54 |  139 |    8 |    6 |    0 |    1 |    6 |
| alonspe01 | Pete      | Alonso      |  685 |  160 |  597 |   95 |  162 |   27 |    0 |   40 |  131 |    5 |    1 |   67 |  128 |   16 |   12 |    0 |    9 |   17 |
| rileyau01 | Austin    | Riley       |  693 |  159 |  615 |   90 |  168 |   39 |    2 |   38 |   93 |    2 |    0 |   57 |  168 |    1 |   17 |    0 |    4 |   13 |
| alvaryo01 | Yordan    | Alvarez     |  561 |  135 |  470 |   95 |  144 |   29 |    2 |   37 |   97 |    1 |    1 |   78 |  106 |    9 |    6 |    0 |    7 |   12 |
| walkech02 | Christian | Walker      |  667 |  160 |  583 |   84 |  141 |   25 |    2 |   36 |   94 |    2 |    2 |   69 |  131 |    2 |    8 |    0 |    7 |   15 |
| bettsmo01 | Mookie    | Betts       |  639 |  142 |  572 |  117 |  154 |   40 |    3 |   35 |   82 |   12 |    2 |   55 |  104 |    0 |    8 |    0 |    4 |    8 |
| goldspa01 | Paul      | Goldschmidt |  649 |  151 |  561 |  106 |  178 |   41 |    0 |   35 |  115 |    7 |    0 |   79 |  141 |    1 |    5 |    0 |    4 |    7 |
| tellero01 | Rowdy     | Tellez      |  599 |  153 |  529 |   67 |  116 |   23 |    0 |   35 |   89 |    2 |    1 |   62 |  121 |    9 |    5 |    0 |    3 |   20 |
| olsonma02 | Matt      | Olson       |  699 |  162 |  616 |   86 |  148 |   44 |    0 |   34 |  103 |    0 |    0 |   75 |  170 |    6 |    4 |    0 |    4 |   13 |
| ohtansh01 | Shohei    | Ohtani      |  666 |  157 |  586 |   90 |  160 |   30 |    6 |   34 |   95 |   11 |    9 |   72 |  161 |   14 |    5 |    0 |    3 |    6 |
| seageco01 | Corey     | Seager      |  663 |  151 |  593 |   91 |  145 |   24 |    1 |   33 |   83 |    3 |    0 |   58 |  103 |    7 |    7 |    0 |    5 |   14 |
| santaan02 | Anthony   | Santander   |  647 |  152 |  574 |   78 |  138 |   24 |    0 |   33 |   89 |    0 |    2 |   55 |  122 |    1 |   13 |    0 |    5 |   14 |
| machama01 | Manny     | Machado     |  644 |  150 |  578 |  100 |  172 |   37 |    1 |   32 |  102 |    9 |    1 |   63 |  133 |   10 |    1 |    0 |    2 |   12 |
| guerrvl02 | Vladimir  | Guerrero    |  706 |  160 |  638 |   90 |  175 |   35 |    0 |   32 |   97 |    8 |    3 |   58 |  116 |    6 |    6 |    0 |    4 |   26 |
| rizzoan01 | Anthony   | Rizzo       |  548 |  130 |  465 |   77 |  104 |   21 |    1 |   32 |   75 |    6 |    5 |   58 |  101 |    6 |   23 |    0 |    2 |   13 |
| adamewi01 | Willy     | Adames      |  617 |  139 |  563 |   83 |  134 |   31 |    0 |   31 |   98 |    8 |    3 |   49 |  166 |    3 |    1 |    0 |    4 |   11 |
| stantmi03 | Giancarlo | Stanton     |  451 |  110 |  398 |   53 |   84 |    7 |    0 |   31 |   78 |    0 |    0 |   50 |  137 |    2 |    0 |    0 |    3 |    8 |
| suareeu01 | Eugenio   | Suarez      |  629 |  150 |  543 |   76 |  128 |   24 |    2 |   31 |   87 |    0 |    0 |   73 |  196 |    0 |    8 |    0 |    5 |   12 |
| hoskirh01 | Rhys      | Hoskins     |  671 |  156 |  589 |   81 |  145 |   33 |    2 |   30 |   79 |    2 |    1 |   72 |  169 |    0 |    6 |    0 |    4 |   12 |
| arenano01 | Nolan     | Arenado     |  620 |  148 |  557 |   73 |  163 |   42 |    1 |   30 |  103 |    5 |    3 |   52 |   72 |    3 |    7 |    0 |    4 |   15 |
| tuckeky01 | Kyle      | Tucker      |  606 |  150 |  544 |   71 |  140 |   28 |    1 |   30 |  107 |   25 |    4 |   59 |   95 |    4 |    1 |    0 |    2 |   11 |
| croncj01  | C. J.     | Cron        |  631 |  150 |  575 |   79 |  148 |   28 |    3 |   29 |  102 |    0 |    0 |   43 |  164 |    6 |    8 |    0 |    5 |   16 |
| ramirjo01 | Jose      | Ramirez     |  685 |  157 |  601 |   90 |  168 |   44 |    5 |   29 |  126 |   20 |    7 |   69 |   82 |   20 |    6 |    0 |    9 |    5 |
+-----------+-----------+-------------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
