+-----------+-----------+-------------+----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| playerID  | nameFirst | nameLast    | IP       | W    | L    | GS   | CG   | SHO  | SV   | H    | R    | ER   | HR   | BB   | IBB  | SO   | HBP  | BK   | WP   |
+-----------+-----------+-------------+----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| newhoha01 | Hal       | Newhouser   | 313.3333 |   25 |    9 |   36 |   29 |    8 |    2 |  239 |   73 |   63 |    5 |  110 | NULL |  212 |    0 |    2 |   10 |
| barrere01 | Red       | Barrett     | 284.6667 |   23 |   12 |   34 |   24 |    3 |    2 |  287 |  106 |   95 |   18 |   54 | NULL |   76 |    2 |    0 |    1 |
| wyseha01  | Hank      | Wyse        | 278.3333 |   22 |   10 |   34 |   23 |    2 |    0 |  272 |   95 |   83 |   17 |   55 | NULL |   77 |    5 |    0 |    3 |
| ferrida01 | Dave      | Ferriss     | 264.6667 |   21 |   10 |   31 |   26 |    5 |    2 |  263 |  101 |   87 |    6 |   85 | NULL |   94 |    7 |    1 |    4 |
| borowha01 | Hank      | Borowy      | 254.6667 |   21 |    7 |   32 |   18 |    2 |    1 |  212 |   94 |   75 |    8 |  105 | NULL |   82 |    1 |    1 |    7 |
| wolffro01 | Roger     | Wolff       | 250.0000 |   20 |   10 |   29 |   21 |    4 |    2 |  200 |   68 |   59 |    7 |   53 | NULL |  108 |    1 |    0 |    1 |
| gromest01 | Steve     | Gromek      | 251.0000 |   19 |    9 |   30 |   21 |    3 |    1 |  229 |   80 |   71 |    6 |   66 | NULL |  101 |    4 |    1 |    0 |
| troutdi01 | Dizzy     | Trout       | 246.3333 |   18 |   15 |   31 |   18 |    4 |    2 |  252 |  108 |   86 |    8 |   79 | NULL |   97 |    0 |    1 |    5 |
| burkhke01 | Ken       | Burkhart    | 217.3333 |   18 |    8 |   22 |   12 |    4 |    2 |  206 |   76 |   70 |    9 |   66 | NULL |   67 |    3 |    0 |    3 |
| reynoal01 | Allie     | Reynolds    | 247.3333 |   18 |   12 |   30 |   16 |    2 |    4 |  227 |  102 |   88 |    7 |  130 | NULL |  112 |    5 |    1 |    1 |
| greggha01 | Hal       | Gregg       | 254.3333 |   18 |   13 |   34 |   13 |    2 |    2 |  221 |  116 |   98 |    5 |  120 | NULL |  139 |    8 |    0 |    7 |
| passecl01 | Claude    | Passeau     | 227.0000 |   17 |    9 |   27 |   19 |    5 |    1 |  205 |   70 |   62 |    4 |   59 | NULL |   98 |    2 |    1 |    2 |
| leonadu02 | Dutch     | Leonard     | 216.0000 |   17 |    7 |   29 |   12 |    4 |    1 |  208 |   72 |   51 |    5 |   35 | NULL |   96 |    2 |    0 |    2 |
| strinni01 | Nick      | Strincevich | 228.3333 |   16 |   10 |   29 |   18 |    1 |    2 |  235 |   94 |   84 |    7 |   49 | NULL |   74 |    3 |    0 |    2 |
| derripa01 | Paul      | Derringer   | 213.6667 |   16 |   11 |   30 |   15 |    1 |    4 |  223 |   99 |   82 |    8 |   51 | NULL |   86 |    1 |    0 |    2 |
| haefnmi01 | Mickey    | Haefner     | 238.3333 |   16 |   14 |   28 |   19 |    1 |    3 |  226 |  103 |   92 |   10 |   69 | NULL |   83 |    7 |    1 |    2 |
| brechha01 | Harry     | Brecheen    | 157.3333 |   15 |    4 |   18 |   13 |    3 |    2 |  136 |   48 |   44 |    5 |   44 | NULL |   63 |    5 |    0 |    0 |
| pottene01 | Nels      | Potter      | 255.3333 |   15 |   11 |   32 |   21 |    3 |    0 |  212 |   75 |   70 |   10 |   68 | NULL |  129 |    1 |    0 |    1 |
| leeth01   | Thornton  | Lee         | 228.3333 |   15 |   12 |   28 |   19 |    1 |    0 |  208 |   81 |   62 |    6 |   76 | NULL |  108 |   10 |    1 |    1 |
| pierema01 | Marino    | Pieretti    | 233.3333 |   14 |   13 |   27 |   14 |    3 |    2 |  235 |  114 |   86 |    3 |   91 | NULL |   66 |    1 |    3 |    2 |
| voisebi01 | Bill      | Voiselle    | 232.3333 |   14 |   14 |   35 |   14 |    4 |    0 |  249 |  128 |  116 |   15 |   97 | NULL |  115 |    4 |    0 |    3 |
| groveor01 | Orval     | Grove       | 217.0000 |   14 |   12 |   30 |   16 |    4 |    1 |  233 |  100 |   83 |   12 |   68 | NULL |   54 |    5 |    0 |    6 |
| roepr01   | Preacher  | Roe         | 235.0000 |   14 |   13 |   31 |   15 |    3 |    1 |  228 |   77 |   75 |   11 |   46 | NULL |  148 |    1 |    0 |    2 |
| mungova01 | Van       | Mungo       | 183.0000 |   14 |    7 |   26 |    7 |    2 |    0 |  161 |   77 |   65 |    4 |   71 | NULL |  101 |    4 |    0 |    3 |
| tobinji01 | Jim       | Tobin       | 255.0000 |   13 |   19 |   31 |   18 |    0 |    1 |  281 |  132 |  107 |   12 |   84 | NULL |   52 |    9 |    0 |    5 |
+-----------+-----------+-------------+----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
