+-----------+--------------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+----------+
| nameFirst | nameLast     | playerID  | G    | W    | L    | GS   | CG   | SHO  | SV   | H    | R    | ER   | HR   | BB   | IBB  | SO   | HBP  | BK   | WP   | IP       |
+-----------+--------------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+----------+
| Shaun     | Anderson     | andersh01 |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    4 |    2 |    2 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   1.0000 |
| Anthony   | Banda        | bandaan01 |    7 |    0 |    1 |    1 |    0 |    0 |    0 |    7 |    3 |    3 |    1 |    3 |    0 |    7 |    0 |    0 |    0 |   6.3333 |
| Anthony   | Bass         | bassan01  |   28 |    2 |    0 |    0 |    0 |    0 |    0 |   19 |    5 |    5 |    5 |   10 |    1 |   28 |    0 |    0 |    1 |  25.6667 |
| Jeremy    | Beasley      | beaslje01 |    9 |    0 |    0 |    0 |    0 |    0 |    0 |   14 |    9 |    8 |    4 |    5 |    0 |   19 |    2 |    0 |    0 |  15.0000 |
| Jose      | Berrios      | berrijo01 |   32 |   12 |    7 |   32 |    0 |    0 |    0 |  199 |  103 |  100 |   29 |   45 |    0 |  149 |   11 |    0 |    3 | 172.0000 |
| Ryan      | Borucki      | borucry01 |   11 |    0 |    0 |    0 |    0 |    0 |    0 |    7 |    7 |    7 |    2 |    5 |    0 |    8 |    1 |    0 |    0 |   6.3333 |
| Max       | Castillo     | castima03 |    9 |    0 |    0 |    2 |    0 |    0 |    0 |   15 |    9 |    7 |    4 |    5 |    0 |   20 |    0 |    0 |    1 |  20.6667 |
| Adam      | Cimber       | cimbead01 |   77 |   10 |    6 |    0 |    0 |    0 |    4 |   66 |   28 |   22 |    6 |   13 |    1 |   58 |    8 |    0 |    1 |  70.6667 |
| Bowden    | Francis      | francbo01 |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    1 |    0 |    0 |    0 |    0 |    0 |    1 |    0 |    0 |    0 |   0.6667 |
| Matt      | Gage         | gagema01  |   11 |    0 |    1 |    0 |    0 |    0 |    0 |    6 |    4 |    2 |    1 |    6 |    1 |   12 |    1 |    0 |    0 |  13.0000 |
| Yimi      | Garcia       | garciyi01 |   61 |    4 |    5 |    0 |    0 |    0 |    1 |   48 |   26 |   21 |    6 |   16 |    3 |   58 |    4 |    1 |    1 |  61.0000 |
| Kevin     | Gausman      | gausmke01 |   31 |   12 |   10 |   31 |    0 |    0 |    0 |  188 |   72 |   65 |   15 |   28 |    0 |  205 |    1 |    2 |    2 | 174.6667 |
| Foster    | Griffin      | grifffo01 |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    1 |    0 |    0 |    0 |    1 |    0 |    2 |    0 |    0 |    0 |   2.0000 |
| Thomas    | Hatch        | hatchto01 |    1 |    0 |    1 |    1 |    0 |    0 |    0 |   12 |   10 |   10 |    3 |    2 |    0 |    4 |    1 |    0 |    0 |   4.6667 |
| Anthony   | Kay          | kayan01   |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    2 |    1 |    1 |    0 |    1 |    0 |    3 |    1 |    0 |    0 |   2.0000 |
| Yusei     | Kikuchi      | kikucyu01 |   32 |    6 |    7 |   20 |    0 |    0 |    1 |   93 |   67 |   58 |   23 |   58 |    0 |  124 |    9 |    0 |    3 | 100.6667 |
| Casey     | Lawrence     | lawreca01 |    6 |    0 |    1 |    0 |    0 |    0 |    0 |   23 |   15 |   15 |    5 |    4 |    0 |   11 |    1 |    0 |    0 |  18.0000 |
| Alek      | Manoah       | manoaal01 |   31 |   16 |    7 |   31 |    0 |    0 |    0 |  144 |   55 |   49 |   16 |   51 |    0 |  180 |   15 |    0 |    5 | 196.6667 |
| Tim       | Mayza        | mayzati01 |   63 |    8 |    1 |    0 |    0 |    0 |    2 |   42 |   19 |   17 |    7 |   12 |    2 |   44 |    1 |    1 |    2 |  48.6667 |
| Whit      | Merrifield   | merriwh01 |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    2 |    2 |    2 |    1 |    0 |    0 |    0 |    1 |    0 |    0 |   1.0000 |
| Julian    | Merryweather | merryju01 |   26 |    0 |    3 |    1 |    0 |    0 |    0 |   31 |   20 |   20 |    4 |    7 |    1 |   23 |    2 |    0 |    1 |  26.6667 |
| David     | Phelps       | phelpda01 |   65 |    0 |    2 |    1 |    0 |    0 |    1 |   52 |   22 |   20 |    2 |   31 |    0 |   64 |    4 |    0 |    3 |  63.6667 |
| Zach      | Pop          | popza01   |   17 |    2 |    0 |    0 |    0 |    0 |    0 |   18 |    4 |    4 |    1 |    2 |    0 |   11 |    1 |    0 |    0 |  19.0000 |
| Trevor    | Richards     | richatr01 |   62 |    3 |    2 |    4 |    0 |    0 |    0 |   57 |   41 |   38 |    9 |   35 |    1 |   82 |    1 |    0 |    3 |  64.0000 |
| Jordan    | Romano       | romanjo03 |   63 |    5 |    4 |    0 |    0 |    0 |   36 |   44 |   18 |   15 |    4 |   21 |    4 |   73 |    4 |    0 |    0 |  64.0000 |
| Sergio    | Romo         | romose01  |    6 |    0 |    1 |    0 |    0 |    0 |    0 |    1 |    3 |    2 |    1 |    2 |    1 |    3 |    0 |    0 |    0 |   3.6667 |
| Hyun Jin  | Ryu          | ryuhy01   |    6 |    2 |    0 |    6 |    0 |    0 |    0 |   32 |   17 |   17 |    5 |    4 |    0 |   16 |    0 |    0 |    0 |  27.0000 |
| Tayler    | Saucedo      | sauceta01 |    4 |    0 |    0 |    0 |    0 |    0 |    0 |    6 |    4 |    4 |    3 |    1 |    0 |    0 |    0 |    0 |    0 |   2.6667 |
| Ross      | Stripling    | stripro01 |   32 |   10 |    4 |   24 |    0 |    0 |    1 |  117 |   49 |   45 |   12 |   20 |    0 |  111 |    2 |    0 |    0 | 134.3333 |
| Trent     | Thornton     | thorntr01 |   32 |    0 |    2 |    0 |    0 |    0 |    0 |   40 |   21 |   21 |    7 |   17 |    0 |   37 |    1 |    0 |    1 |  46.0000 |
| Andrew    | Vasquez      | vasquan02 |    9 |    0 |    0 |    0 |    0 |    0 |    0 |    6 |    6 |    6 |    1 |    3 |    0 |    6 |    3 |    1 |    1 |   6.6667 |
| Mitch     | White        | whitemi03 |   10 |    0 |    5 |    8 |    0 |    0 |    0 |   59 |   37 |   37 |    3 |   16 |    0 |   31 |    1 |    0 |    1 |  43.0000 |
+-----------+--------------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+----------+
