playerID,birthYear,birthMonth,birthDay,birthCountry,deathYear,deathMonth,deathDay,nameFirst,nameLast,weight,height,bats,throws,debut,bbrefID,finalGame
bettsmo01,1992.0,10.0,7.0,USA,,,,Mookie,Betts,180.0,69.0,R,R,2014-06-29,bettsmo01,2022-10-05
biggica01,1995.0,4.0,11.0,USA,,,,Cavan,Biggio,200.0,74.0,L,R,2019-05-24,biggica01,2022-10-05
bordafr01,1910.0,1.0,3.0,USA,2000.0,4.0,13.0,Frenchy,Bordagaray,175.0,67.0,R,R,1934-04-17,bordafr01,1945-09-30
broutda01,1858.0,5.0,8.0,USA,1932.0,8.0,2.0,Dan,Brouthers,207.0,74.0,L,L,1879-06-23,broutda01,1904-10-04
buehlwa01,1994.0,7.0,28.0,USA,,,,Walker,Buehler,185.0,74.0,R,R,2017-09-07,buehlwa01,2022-06-10
daleybi01,1868.0,6.0,27.0,USA,1922.0,5.0,4.0,Bill,Daley,140.0,67.0,,L,1889-07-17,daleybi01,1891-06-30
galanau01,1912.0,5.0,23.0,USA,1993.0,12.0,28.0,Augie,Galan,175.0,72.0,B,R,1934-04-29,galanau01,1949-09-16
greggha01,1921.0,7.0,11.0,USA,1991.0,5.0,13.0,Hal,Gregg,195.0,75.0,R,R,1943-08-18,greggha01,1952-08-17
guerrvl02,1999.0,3.0,16.0,CAN,,,,Vladimir,Guerrero,240.0,74.0,R,R,2019-04-26,guerrvl02,2022-10-05
kershcl01,1988.0,3.0,19.0,USA,,,,Clayton,Kershaw,225.0,76.0,L,L,2008-05-25,kershcl01,2022-10-05
kikucyu01,1991.0,6.0,17.0,Japan,,,,Yusei,Kikuchi,205.0,72.0,L,L,2019-03-21,kikucyu01,2022-10-05
quinnjo02,1862.0,12.0,24.0,Australia,1940.0,11.0,12.0,Joe,Quinn,158.0,67.0,R,R,1884-04-26,quinnjo02,1901-07-23
webbele01,1915.0,5.0,6.0,USA,1986.0,11.0,13.0,Les,Webber,185.0,72.0,R,R,1942-05-17,webbele01,1948-04-26
