+-------------+------------------------------+------------+-----------+-------------+---------------+-----------------+
| franchiseID | franchiseName                | totalGames | totalWins | totalLosses | winPercentage | worldSeriesWins |
+-------------+------------------------------+------------+-----------+-------------+---------------+-----------------+
| BLC         | Baltimore Canaries           |        162 |        78 |          79 |        0.4815 |               0 |
| MAR         | Baltimore Marylands          |          6 |         0 |           6 |        0.0000 |               0 |
| BNA         | Boston Red Stockings         |        292 |       225 |          60 |        0.7705 |               0 |
| BRA         | Brooklyn Atlantics           |        192 |        50 |         140 |        0.2604 |               0 |
| ECK         | Brooklyn Eckfords            |         29 |         3 |          26 |        0.1034 |               0 |
| CNA         | Chicago White Stockings      |        156 |        77 |          77 |        0.4936 |               0 |
| CFC         | Cleveland Forest Citys       |         51 |        16 |          35 |        0.3137 |               0 |
| RES         | Elizabeth Resolutes          |         23 |         2 |          21 |        0.0870 |               0 |
| KEK         | Fort Wayne Kekiongas         |         19 |         7 |          12 |        0.3684 |               0 |
| HNA         | Hartford Dark Blues          |        139 |        70 |          65 |        0.5036 |               0 |
| WES         | Keokuk Westerns              |         13 |         1 |          12 |        0.0769 |               0 |
| MAN         | Middletown Mansfields        |         24 |         5 |          19 |        0.2083 |               0 |
| NHV         | New Haven Elm Citys          |         47 |         7 |          40 |        0.1489 |               0 |
| NNA         | New York Mutuals             |        278 |       151 |         122 |        0.5432 |               0 |
| PNA         | Philadelphia Athletics       |        259 |       165 |          86 |        0.6371 |               0 |
| CEN         | Philadelphia Centennials     |         14 |         2 |          12 |        0.1429 |               0 |
| PWS         | Philadelphia White Stockings |        181 |       102 |          77 |        0.5635 |               0 |
| ROK         | Rockford Forest Citys        |         25 |         4 |          21 |        0.1600 |               0 |
| SNA         | St. Louis Brown Stockings    |         70 |        39 |          29 |        0.5571 |               0 |
| SLR         | St. Louis Red Stockings      |         19 |         4 |          15 |        0.2105 |               0 |
| TRO         | Troy Haymakers               |         54 |        28 |          25 |        0.5185 |               0 |
| WBL         | Washington Blue Legs         |         39 |         8 |          31 |        0.2051 |               0 |
| NAT         | Washington Nationals         |         11 |         0 |          11 |        0.0000 |               0 |
| WNT         | Washington Nationals         |         28 |         5 |          23 |        0.1786 |               0 |
| OLY         | Washington Olympics          |         41 |        17 |          22 |        0.4146 |               0 |
+-------------+------------------------------+------------+-----------+-------------+---------------+-----------------+
