+-----------+--------------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+-----+
| nameFirst | nameLast     | playerID  | G    | AB   | R    | H    | 2B   | 3B   | HR   | RBI  | SB   | CS   | BB   | SO   | IBB  | HBP  | SH   | SF   | GIDP | PA  |
+-----------+--------------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+-----+
| Shaun     | Anderson     | andersh01 |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Anthony   | Banda        | bandaan01 |    7 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Anthony   | Bass         | bassan01  |   28 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Jeremy    | Beasley      | beaslje01 |    9 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Jose      | Berrios      | berrijo01 |   32 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Bo        | Bichette     | bichebo01 |  159 |  652 |   91 |  189 |   43 |    1 |   24 |   93 |   13 |    8 |   41 |  155 |    0 |    2 |    0 |    2 |   21 | 697 |
| Cavan     | Biggio       | biggica01 |   97 |  257 |   43 |   52 |   18 |    1 |    6 |   24 |    2 |    0 |   38 |   85 |    0 |    6 |    1 |    1 |    2 | 303 |
| Ryan      | Borucki      | borucry01 |   11 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Jackie    | Bradley      | bradlja02 |   40 |   73 |    9 |   13 |    4 |    0 |    1 |    9 |    0 |    0 |    7 |   19 |    0 |    0 |    0 |    0 |    2 |  80 |
| Vinny     | Capra        | capravi01 |    8 |    5 |    2 |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    2 |    1 |    0 |    0 |    0 |    0 |    0 |   7 |
| Max       | Castillo     | castima03 |    9 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Matt      | Chapman      | chapmma01 |  155 |  538 |   83 |  123 |   27 |    1 |   27 |   76 |    2 |    2 |   68 |  170 |    1 |   10 |    0 |    5 |    7 | 621 |
| Adam      | Cimber       | cimbead01 |   77 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Zack      | Collins      | colliza01 |   26 |   72 |    7 |   14 |    4 |    0 |    4 |   10 |    0 |    0 |    6 |   31 |    0 |    1 |    0 |    0 |    0 |  79 |
| Santiago  | Espinal      | espinsa01 |  135 |  449 |   51 |  120 |   25 |    0 |    7 |   51 |    6 |    6 |   36 |   68 |    1 |    2 |    1 |    3 |   12 | 491 |
| Bowden    | Francis      | francbo01 |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Matt      | Gage         | gagema01  |   11 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Yimi      | Garcia       | garciyi01 |   61 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Kevin     | Gausman      | gausmke01 |   31 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Foster    | Griffin      | grifffo01 |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Vladimir  | Guerrero     | guerrvl02 |  160 |  638 |   90 |  175 |   35 |    0 |   32 |   97 |    8 |    3 |   58 |  116 |    6 |    6 |    0 |    4 |   26 | 706 |
| Lourdes   | Gurriel      | gurrilo01 |  121 |  453 |   52 |  132 |   32 |    1 |    5 |   52 |    3 |    4 |   31 |   83 |    1 |    6 |    0 |    2 |   11 | 492 |
| Thomas    | Hatch        | hatchto01 |    1 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |    0 |   0 |
| Tyler     | Heineman     | heinety01 |   10 |   15 |    2 |    4 |    2 |    0 |    0 |    1 |    0 |    0 |    0 |    4 |    0 |    0 |    1 |    0 |    1 |  16 |
| Teoscar   | Hernandez    | hernate01 |  131 |  499 |   71 |  133 |   35 |    1 |   25 |   77 |    6 |    3 |   34 |  152 |    0 |    2 |    0 |    0 |   18 | 535 |
| Danny     | Jansen       | janseda01 |   72 |  215 |   34 |   56 |   10 |    0 |   15 |   44 |    1 |    0 |   25 |   44 |    1 |    3 |    0 |    5 |    1 | 248 |
| Gosuke    | Katoh        | katohgo01 |    8 |    7 |    2 |    1 |    1 |    0 |    0 |    0 |    0 |    0 |    3 |    1 |    0 |    0 |    1 |    0 |    0 |  11 |
