+--------+-------------------------------+--------+-------------+-------------------------------+------+------+------+
| teamID | name                          | yearID | franchiseID | franchiseName                 | G    | W    | L    |
+--------+-------------------------------+--------+-------------+-------------------------------+------+------+------+
| LAN    | Los Angeles Dodgers           |   2022 | LAD         | Los Angeles Dodgers           |  162 |  111 |   51 |
| HOU    | Houston Astros                |   2022 | HOU         | Houston Astros                |  162 |  106 |   56 |
| ATL    | Atlanta Braves                |   2022 | ATL         | Atlanta Braves                |  162 |  101 |   61 |
| NYN    | New York Mets                 |   2022 | NYM         | New York Mets                 |  162 |  101 |   61 |
| NYA    | New York Yankees              |   2022 | NYY         | New York Yankees              |  162 |   99 |   63 |
| SLN    | St. Louis Cardinals           |   2022 | STL         | St. Louis Cardinals           |  162 |   93 |   69 |
| CLE    | Cleveland Guardians           |   2022 | CLE         | Cleveland Indians             |  162 |   92 |   70 |
| TOR    | Toronto Blue Jays             |   2022 | TOR         | Toronto Blue Jays             |  162 |   92 |   70 |
| SEA    | Seattle Mariners              |   2022 | SEA         | Seattle Mariners              |  162 |   90 |   72 |
| SDN    | San Diego Padres              |   2022 | SDP         | San Diego Padres              |  162 |   89 |   73 |
| PHI    | Philadelphia Phillies         |   2022 | PHI         | Philadelphia Phillies         |  162 |   87 |   75 |
| MIL    | Milwaukee Brewers             |   2022 | MIL         | Milwaukee Brewers             |  162 |   86 |   76 |
| TBA    | Tampa Bay Rays                |   2022 | TBD         | Tampa Bay Rays                |  162 |   86 |   76 |
| BAL    | Baltimore Orioles             |   2022 | BAL         | Baltimore Orioles             |  162 |   83 |   79 |
| CHA    | Chicago White Sox             |   2022 | CHW         | Chicago White Sox             |  162 |   81 |   81 |
| SFN    | San Francisco Giants          |   2022 | SFG         | San Francisco Giants          |  162 |   81 |   81 |
| BOS    | Boston Red Sox                |   2022 | BOS         | Boston Red Sox                |  162 |   78 |   84 |
| MIN    | Minnesota Twins               |   2022 | MIN         | Minnesota Twins               |  162 |   78 |   84 |
| ARI    | Arizona Diamondbacks          |   2022 | ARI         | Arizona Diamondbacks          |  162 |   74 |   88 |
| CHN    | Chicago Cubs                  |   2022 | CHC         | Chicago Cubs                  |  162 |   74 |   88 |
| LAA    | Los Angeles Angels of Anaheim |   2022 | ANA         | Los Angeles Angels of Anaheim |  162 |   73 |   89 |
| MIA    | Miami Marlins                 |   2022 | FLA         | Florida Marlins               |  162 |   69 |   93 |
| COL    | Colorado Rockies              |   2022 | COL         | Colorado Rockies              |  162 |   68 |   94 |
| TEX    | Texas Rangers                 |   2022 | TEX         | Texas Rangers                 |  162 |   68 |   94 |
| DET    | Detroit Tigers                |   2022 | DET         | Detroit Tigers                |  162 |   66 |   96 |
| KCA    | Kansas City Royals            |   2022 | KCR         | Kansas City Royals            |  162 |   65 |   97 |
| CIN    | Cincinnati Reds               |   2022 | CIN         | Cincinnati Reds               |  162 |   62 |  100 |
| PIT    | Pittsburgh Pirates            |   2022 | PIT         | Pittsburgh Pirates            |  162 |   62 |  100 |
| OAK    | Oakland Athletics             |   2022 | OAK         | Oakland Athletics             |  162 |   60 |  102 |
| WAS    | Washington Nationals          |   2022 | WSN         | Washington Nationals          |  162 |   55 |  107 |
+--------+-------------------------------+--------+-------------+-------------------------------+------+------+------+
