playerID,yearID,stint,teamID,leagueID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
bettsmo01,2022,1,LAN,NL,142,572,117,154,40,3,35,82.0,12.0,2.0,55,104.0,0.0,8.0,0.0,4.0,8.0
bettsmo01,2023,1,LAN,NL,152,584,126,179,40,1,39,107.0,14.0,3.0,96,107.0,3.0,8.0,0.0,5.0,5.0
biggica01,2022,1,TOR,AL,97,257,43,52,18,1,6,24.0,2.0,0.0,38,85.0,0.0,6.0,1.0,1.0,2.0
biggica01,2023,1,TOR,AL,111,289,54,68,12,0,9,40.0,5.0,2.0,40,88.0,0.0,7.0,0.0,2.0,0.0
bordafr01,1944,1,BRO,NL,130,501,85,141,26,4,6,51.0,3.0,,36,22.0,,1.0,10.0,,10.0
bordafr01,1945,1,BRO,NL,113,273,32,70,9,6,2,49.0,7.0,,29,15.0,,0.0,3.0,,3.0
broutda01,1890,1,BSP,PL,126,475,123,159,38,10,2,102.0,29.0,,99,17.0,,18.0,,,
broutda01,1891,1,BS2,AA,130,486,117,170,26,19,5,109.0,31.0,,87,20.0,,24.0,,,
daleybi01,1890,1,BSP,PL,39,119,17,20,2,0,2,9.0,1.0,,10,16.0,,1.0,,,
daleybi01,1891,1,BS2,AA,20,59,5,10,0,1,0,9.0,1.0,,1,6.0,,0.0,,,
galanau01,1944,1,BRO,NL,151,547,96,174,43,9,12,93.0,4.0,,101,23.0,,2.0,4.0,,8.0
galanau01,1945,1,BRO,NL,152,576,114,177,36,7,9,92.0,13.0,,114,27.0,,2.0,4.0,,10.0
greggha01,1944,1,BRO,NL,42,68,5,14,0,0,0,2.0,0.0,,1,13.0,,0.0,4.0,,0.0
greggha01,1945,1,BRO,NL,42,91,11,20,6,0,1,9.0,0.0,,2,13.0,,0.0,8.0,,0.0
guerrvl02,2022,1,TOR,AL,160,638,90,175,35,0,32,97.0,8.0,3.0,58,116.0,6.0,6.0,0.0,4.0,26.0
guerrvl02,2023,1,TOR,AL,156,602,78,159,30,0,26,94.0,5.0,3.0,67,100.0,5.0,9.0,0.0,4.0,23.0
quinnjo02,1890,1,BSP,PL,133,523,89,157,19,8,7,86.0,31.0,,45,25.0,,2.0,,,
webbele01,1944,1,BRO,NL,48,39,4,8,0,0,1,3.0,0.0,,2,8.0,,0.0,2.0,,2.0
webbele01,1945,1,BRO,NL,17,22,3,2,1,0,0,1.0,1.0,,2,5.0,,0.0,6.0,,0.0
