playerID,yearID,stint,teamID,leagueID,W,L,G,GS,CG,SHO,SV,outsRecorded,H,ER,HR,BB,SO,BAOpponents,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
buehlwa01,2022,1,LAN,NL,6,3,12,12,1,1,0,195,67,29,8,17,58,0.263,4.02,0.0,1,2.0,0,274.0,0,30,0.0,0.0,4.0
daleybi01,1890,1,BSP,PL,18,7,36,27,21,2,2,759,253,95,7,178,115,,3.38,,21,11.0,1,1205.0,8,187,,,
daleybi01,1891,1,BS2,AA,8,6,19,11,10,0,2,380,119,42,6,81,68,,2.98,,11,7.0,0,584.0,8,76,,,
greggha01,1944,1,BRO,NL,9,16,39,31,6,0,2,593,201,120,12,137,92,0.25,5.46,,10,9.0,0,941.0,7,142,,,
greggha01,1945,1,BRO,NL,18,13,42,34,13,2,2,763,221,98,5,120,139,0.23,3.47,,7,8.0,0,1092.0,5,116,,,
kershcl01,2022,1,LAN,NL,12,3,22,22,0,0,0,379,96,32,10,23,137,0.206,2.28,0.0,0,2.0,1,493.0,0,36,1.0,2.0,8.0
kershcl01,2023,1,LAN,NL,13,5,24,24,0,0,0,395,100,36,19,40,137,0.209,2.46,0.0,6,3.0,2,523.0,0,39,0.0,1.0,16.0
kikucyu01,2022,1,TOR,AL,6,7,32,20,0,0,1,302,93,58,23,58,124,0.243,5.19,0.0,3,9.0,0,454.0,4,67,1.0,3.0,7.0
kikucyu01,2023,1,TOR,AL,11,6,32,32,0,0,0,503,165,72,27,48,181,0.255,3.86,0.0,7,4.0,0,700.0,0,78,2.0,0.0,16.0
webbele01,1944,1,BRO,NL,7,8,48,9,1,0,3,421,157,77,9,64,42,0.28,4.94,,8,1.0,0,639.0,23,85,,,
webbele01,1945,1,BRO,NL,7,3,17,7,5,0,0,226,69,30,3,25,30,0.23,3.58,,0,1.0,0,319.0,5,37,,,
